,component,num_of_addrs
1423,1423,2
1424,1424,3
1425,1425,2
1426,1426,5
1427,1427,3
1428,1428,3
1429,1429,4
1430,1430,7
1431,1431,15
1432,1432,2
1433,1433,2
1434,1434,4
1435,1435,4
1436,1436,11
1437,1437,6
1438,1438,3
1439,1439,2
1440,1440,2
1441,1441,2
1442,1442,2
1443,1443,2
1444,1444,9
1445,1445,3
1446,1446,3
1447,1447,3
1448,1448,2
1449,1449,4
1450,1450,2
1451,1451,2
1452,1452,6
1453,1453,2
1454,1454,2
1455,1455,2
1456,1456,3
1457,1457,3
1458,1458,2
1459,1459,6
1460,1460,14
1461,1461,4
1462,1462,15
1463,1463,5
1464,1464,6
1465,1465,4
1466,1466,13
1467,1467,2
1468,1468,2
1469,1469,2
1470,1470,3
1471,1471,2
1472,1472,4
1473,1473,2
1474,1474,8
1475,1475,2
1476,1476,2
1477,1477,3
1478,1478,2
1479,1479,2
1480,1480,3
1481,1481,10
1482,1482,2
1483,1483,9
1484,1484,3
1485,1485,3
1486,1486,4
1487,1487,2
1488,1488,2
1489,1489,6
1490,1490,4
1491,1491,6
1492,1492,4
1493,1493,4
1494,1494,2
1495,1495,2
1496,1496,2
1497,1497,2
1498,1498,2
1499,1499,2
1500,1500,2
1501,1501,2
1502,1502,6
1503,1503,2
1504,1504,2
1505,1505,2
1506,1506,3
1507,1507,2
1508,1508,3
1509,1509,2
1510,1510,10
1511,1511,8
1512,1512,2
1513,1513,6
1514,1514,2
1515,1515,2
1516,1516,4
1517,1517,2
1518,1518,2
1519,1519,6
1520,1520,6
1521,1521,2
1522,1522,5
1523,1523,5
1524,1524,3
1525,1525,2
1526,1526,2
1527,1527,2
1528,1528,3
1529,1529,2
1530,1530,7
1531,1531,2
1532,1532,2
1533,1533,4
1534,1534,2
1535,1535,30
1536,1536,3
1537,1537,4
1538,1538,3
1539,1539,3
1540,1540,10
1541,1541,11
1542,1542,3
1543,1543,2
1544,1544,2
1545,1545,2
1546,1546,4
1547,1547,7
1548,1548,4
1549,1549,7
1550,1550,5
1551,1551,3
1552,1552,5
1553,1553,2
1554,1554,2
1555,1555,10
1556,1556,6
1557,1557,2
1558,1558,3
1559,1559,2
1560,1560,2
1561,1561,5
1562,1562,2
1563,1563,8
1564,1564,2
1565,1565,2
1566,1566,5
1567,1567,3
1568,1568,2
1569,1569,5
1570,1570,2
1571,1571,3
1572,1572,4
1573,1573,4
1574,1574,3
1575,1575,3
1576,1576,2
1577,1577,5
1578,1578,2
1579,1579,3
1580,1580,2
1581,1581,2
1582,1582,2
1583,1583,4
1584,1584,16
1585,1585,3
1586,1586,2
1587,1587,3
1588,1588,3
1589,1589,7
1590,1590,2
1591,1591,2
1592,1592,3
1593,1593,11
1594,1594,11
1595,1595,3
1596,1596,5
1597,1597,4
1598,1598,2
1599,1599,2
1600,1600,4
1601,1601,8
1602,1602,2
1603,1603,2
1604,1604,15
1605,1605,9
1606,1606,3
1607,1607,4
1608,1608,3
1609,1609,14
1610,1610,6
1611,1611,2
1612,1612,5
1613,1613,2
1614,1614,5
1615,1615,4
1616,1616,2
1617,1617,2
1618,1618,3
1619,1619,2
1620,1620,2
1621,1621,4
1622,1622,2
1623,1623,2
1624,1624,6
1625,1625,2
1626,1626,3
1627,1627,2
1628,1628,2
1629,1629,10
1630,1630,8
